country_region,last_update,lat,long,confirmed,deaths,recovered,active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3
Niger,5/8/2020 4:32,17.607789,8.081666,781,42,586,153,3.226388004,,,5.377720871,562,NER
Nigeria,5/8/2020 4:32,9.082,8.6753,3526,107,601,2818,1.710491445,,,3.034600113,566,NGA
North Macedonia,5/8/2020 4:32,41.6086,21.7453,1572,89,1079,404,75.45430982,,,5.661577608,807,MKD
Oman,5/8/2020 4:32,21.512583,55.923255,2958,15,980,1963,57.92478864,,,0.507099391,512,OMN
Pakistan,5/8/2020 4:32,30.3753,69.3451,25837,594,7530,17713,11.69664872,,,2.299028525,586,PAK
Panama,5/8/2020 4:32,8.538,-80.7821,7868,225,886,6757,182.3504763,,,2.859684799,591,PAN
Papua New Guinea,5/8/2020 4:32,-6.314993,143.95555,8,0,8,0,0.089415177,,,0,598,PNG
Paraguay,5/8/2020 4:32,-23.4425,-58.4438,462,10,148,304,6.477364974,,,2.164502165,600,PRY
Peru,5/8/2020 4:32,-9.19,-75.0152,58526,1627,18388,38511,177.5029521,,,2.779961043,604,PER
Philippines,5/8/2020 4:32,12.879721,121.774017,10343,685,1618,8040,9.438672742,,,6.622836701,608,PHL
Poland,5/8/2020 4:32,51.9194,19.1451,15047,755,4862,9430,39.75785939,,,5.017611484,616,POL
Portugal,5/8/2020 4:32,39.3999,-8.2245,26715,1105,2258,23352,261.9963484,,,4.136253041,620,PRT
Qatar,5/8/2020 4:32,25.3548,51.1839,18890,12,2286,16592,655.6614579,,,0.063525675,634,QAT
Romania,5/8/2020 4:32,45.9432,24.9668,14499,888,6144,7467,75.36770802,,,6.124560315,642,ROU
Rwanda,5/8/2020 4:32,-1.9403,29.8739,271,0,133,138,2.092307189,,,0,646,RWA
Saint Kitts and Nevis,5/8/2020 4:32,17.357822,-62.782998,15,0,12,3,28.19972928,,,0,659,KNA
Saint Lucia,5/8/2020 4:32,13.9094,-60.9789,18,0,17,1,9.802373263,,,0,662,LCA
Saint Vincent and the Grenadines,5/8/2020 4:32,12.9843,-61.2872,17,0,9,8,15.32263153,,,0,670,VCT
San Marino,5/8/2020 4:32,43.9424,12.4578,622,41,106,475,1832.753845,,,6.591639871,674,SMR
Sao Tome and Principe,5/8/2020 4:32,0.18636,6.613081,187,4,4,179,85.32540005,,,2.139037433,678,STP
Saudi Arabia,5/8/2020 4:32,23.885942,45.079162,33731,219,7798,25714,96.88955266,,,0.649254395,682,SAU
